DS_CIDADE;DS_SETOR;DS_DESTINACAO_IMOVEL;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL;PAGTO_A_VISTA
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS RO  1 - RESIDENCIAL OBRIGATÓRIO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÃO RESIDENCIAL COM ATIVIDADE ECONÔMICA REALIZADA NO ÂMBITO DOMÉSTICO, NÃO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;31;298000;5;441022.01;404.736;404.736;168.64;7;VAGO;143022.01;47.993963087248325;0
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS RO  1 - RESIDENCIAL OBRIGATÓRIO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÃO RESIDENCIAL COM ATIVIDADE ECONÔMICA REALIZADA NO ÂMBITO DOMÉSTICO, NÃO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;32;295000;5;426900.0;399.6;399.6;166.5;9;VAGO;131900.0;44.71186440677966;0
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS RO  1 - RESIDENCIAL OBRIGATÓRIO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÃO RESIDENCIAL COM ATIVIDADE ECONÔMICA REALIZADA NO ÂMBITO DOMÉSTICO, NÃO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;33;295000;5;487694.99;399.6;399.6;166.5;29;VAGO;192694.99;65.32033559322034;0
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS RO  1 - RESIDENCIAL OBRIGATÓRIO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÃO RESIDENCIAL COM ATIVIDADE ECONÔMICA REALIZADA NO ÂMBITO DOMÉSTICO, NÃO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;34;288000;5;491090.99;388.8;388.8;162.0;28;VAGO;203090.99;70.51770486111111;0
GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;38;533000;5;535000.0;432.0;432.0;144.0;1;VAGO;2000.0;0.37523452157598497;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;41;363000;5;415113.94;557.99;557.99;557.99;2;VAGO;52113.94;14.356457300275483;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;44;317000;5;322000.0;420.0;420.0;420.0;1;VAGO;5000.0;1.5772870662460567;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;47;317000;5;319856.36;420.0;420.0;420.0;1;VAGO;2856.359999999986;0.9010599369085129;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;48;317000;5;327748.79;420.0;420.0;420.0;2;VAGO;10748.789999999979;3.390785488958984;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;51;317000;5;320001.0;420.0;420.0;420.0;2;VAGO;3001.0;0.9466876971608832;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;52;317000;5;319836.99;420.0;420.0;420.0;1;VAGO;2836.9899999999907;0.8949495268138772;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;57;342000;5;345510.33;493.96;493.96;493.96;1;VAGO;3510.3300000000163;1.0264122807017593;0
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2025;6;60;324000;5;327500.0;440.65;440.65;440.65;1;VAGO;3500.0;1.0802469135802468;0
SAO SEBASTIAO;SETOR HABITACIONAL JARDIM BOTANICO;UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;6;61;2010000;5;2123999.89;3600.0;3600.0;1000.0;1;VAGO;113999.89000000013;5.671636318407967;0
PARANOA;PARANOÁ PARQUE;UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;6;64;1230000;5;1242500.0;4364.406;2424.67;2424.67;1;VAGO;12500.0;1.0162601626016259;0
RECANTO DAS EMAS;RECANTO DAS EMAS;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;74;616000;5;710000.0;1805.875;1300.23;722.35;1;VAGO;94000.0;15.259740259740258;0
RIACHO FUNDO;QUADRA DE OFICINAS;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;76;289000;5;411111.11;400.0;280.0;200.0;4;CONSTRUIDO;122111.10999999999;42.25297923875432;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;6;77;120000;5;190000.01;183.3;128.31;91.65;4;OCUPADO;70000.01000000001;58.33334166666667;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;82;447300;5;587000.0;525.0;300.0;150.0;2;OCUPADO;139700.0;31.231835457187568;0
SAMAMBAIA;QS-SAMAMBAIA;UOS CSIIR 1 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;84;121000;5;125005.1;300.0;200.0;100.0;1;VAGO;4005.100000000006;3.3100000000000045;0
SAMAMBAIA;QS-SAMAMBAIA;UOS CSIIR 1 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;85;744000;5;890010.0;2007.75;1338.5;669.25;1;OCUPADO;146010.0;19.625;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;86;122940;5;123000.0;225.0;150.0;75.0;1;OCUPADO;60.0;0.04880429477794046;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;87;288000;5;351000.0;883.2;588.8;294.4;4;VAGO;63000.0;21.875;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;90;602000;5;803000.33;1956.0;1304.0;652.0;3;VAGO;201000.32999999996;33.38875913621262;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;91;1190000;5;2000001.0;3975.18;2650.12;1325.06;3;VAGO;810001.0;68.06731092436975;0
SAMAMBAIA;QN-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;92;664000;5;1163000.33;2167.77;1445.18;722.59;3;VAGO;499000.3300000001;75.15065210843375;0
SAMAMBAIA;QS-SAMAMBAIA;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;94;73100;5;100000.0;300.0;200.0;100.0;9;VAGO;26900.0;36.79890560875513;0
SOBRADINHO;CENTRO ORIENT. E EDUC. RURAL - COER;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;98;750000;5;755000.0;2390.622;919.47;919.47;1;OBSTRUIDO;5000.0;0.6666666666666667;0
SOBRADINHO;CENTRO ORIENT. E EDUC. RURAL - COER;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;6;99;1900000;5;2120000.0;6863.454;2639.79;2639.79;3;VAGO;220000.0;11.578947368421053;0
BRASILIA;SETOR DE HABITACOES INDIVIDUAIS NORTE        ;UOS RE 1 - RESIDENCIAL EXCLUSIVO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS).;2025;5;3;1570000;20;1695824.0;1120.0;1120.0;800.0;1;VAGO;125824.0;8.014267515923565;0
BRASILIA;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;"PURP 52 - COMERCIAL VAREJISTA; INDUSTRIAL DE VESTUÁRIO E ACESSÓRIOS; PRESTAÇÃO DE SERVIÇOS; INSTITUCIONAL APENAS ORGANIZAÇÕES ASSOCIATIVAS. DETALHAMENTO DE ATIVIDADES, VIDE LC Nº 1041/2024, ANEXO VII - PPCUB.";2025;5;6;276000;5;731100.0;20.0;20.0;20.0;6;OBSTRUIDO;455100.0;164.8913043478261;0
CEILANDIA;SETOR O NORTE-QUADRA RESIDENCIAL             ;UOS CSIIR 1 NO - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÃO OBRIGATÓRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÃO UNIFAMILIAR OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÃO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÃO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2025;5;7;376000;5;378000.0;1134.0;756.0;378.0;1;OBSTRUIDO;2000.0;0.5319148936170213;0
CEILANDIA;SETOR INDUSTRIAL I                           ;UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;5;9;113000;5;300000.01;480.375;480.375;320.25;9;EM CONSTRUCAO;187000.01;165.48673451327434;0
CEILANDIA;SETOR INDUSTRIAL I                           ;UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;5;10;70000;5;76999.99;360.0;360.0;180.0;2;OCUPADO;6999.990000000005;9.999985714285723;0
CEILANDIA;SETOR INDUSTRIAL I                           ;UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;5;11;79600;5;241999.0;315.0;315.0;210.0;5;VAGO;162399.0;204.01884422110555;0
CEILANDIA;SETOR INDUSTRIAL I                           ;UOS CSIIND 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022 E DA LC Nº 1058/2025.;2025;5;12;79600;5;241999.0;315.0;315.0;210.0;4;VAGO;162399.0;204.01884422110555;0
